_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric,period,latitude,longitude,geocoded_address
82942,2020-11,BEDOK,3 ROOM,808B,CHAI CHEE RD,07 TO 09,68.0,Model A,2016,95 years,480000.0,2020,4,9,7058.823529411765,2020-11-01,7,9,8.0,808,2020-Q4,1.32747242201869,103.923868263972,808B CHAI CHEE ROAD PING YI GREENS SINGAPORE 462808
173684,2024-08,BUKIT MERAH,2 ROOM,45,TELOK BLANGAH DR,04 TO 06,45.0,Improved,1976,50 years 06 months,318000.0,2024,3,49,7066.666666666667,2024-08-01,4,6,5.0,45,2024-Q3,1.27175707090153,103.809560438327,45 TELOK BLANGAH DRIVE BLANGAH COURT SINGAPORE 100045
202754,2025-02,SENGKANG,4 ROOM,303A,ANCHORVALE LINK,10 TO 12,90.0,Model A,2001,75 years 07 months,565000.0,2025,1,24,6277.777777777777,2025-02-01,10,12,11.0,303,2025-Q1,1.38707886249558,103.890776480517,303A ANCHORVALE LINK ANCHORVALE COURT SINGAPORE 541303
43360,2019-01,WOODLANDS,3 ROOM,13,MARSILING LANE,04 TO 06,65.0,Improved,1976,56 years 02 months,207000.0,2019,1,49,3184.6153846153848,2019-01-01,4,6,5.0,13,2019-Q1,1.44109627463339,103.779276133737,13 MARSILING LANE MARSILING GARDENS SINGAPORE 730013
70918,2020-06,BUKIT BATOK,EXECUTIVE,223,BT BATOK EAST AVE 3,10 TO 12,149.0,Maisonette,1985,64 years 03 months,612800.0,2020,2,40,4112.751677852349,2020-06-01,10,12,11.0,223,2020-Q2,1.34801554533173,103.753397257075,223 BUKIT BATOK EAST AVENUE 3 SINGAPORE 650223
34542,2018-08,WOODLANDS,4 ROOM,575,WOODLANDS DR 16,07 TO 09,86.0,Model A2,2000,81 years 04 months,306000.0,2018,3,25,3558.139534883721,2018-08-01,7,9,8.0,575,2018-Q3,1.43118720442285,103.797237729001,575 WOODLANDS DRIVE 16 SINGAPORE 730575
179319,2024-08,HOUGANG,4 ROOM,477A,UPP SERANGOON VIEW,13 TO 15,95.0,Premium Apartment,2016,90 years 09 months,762800.0,2024,3,9,8029.473684210527,2024-08-01,13,15,14.0,477,2024-Q3,1.37830875820742,103.903841957906,477A UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 531477
106668,2021-08,YISHUN,EXECUTIVE,361,YISHUN RING RD,01 TO 03,146.0,Maisonette,1988,65 years 10 months,655000.0,2021,3,37,4486.301369863014,2021-08-01,1,3,2.0,361,2021-Q3,1.42832475935828,103.845908268643,361 YISHUN RING ROAD YISHUN GLORY SINGAPORE 760361
136534,2022-12,SENGKANG,4 ROOM,275B,COMPASSVALE LINK,13 TO 15,90.0,Premium Apartment,2009,85 years 07 months,690000.0,2022,4,16,7666.666666666667,2022-12-01,13,15,14.0,275,2022-Q4,1.38333897024769,103.894522123516,275B COMPASSVALE LINK ASPELLA SINGAPORE 542275
125300,2022-12,GEYLANG,4 ROOM,2A,GEYLANG SERAI,16 TO 18,93.0,Model A,2011,88 years 01 month,795000.0,2022,4,14,8548.387096774193,2022-12-01,16,18,17.0,2,2022-Q4,1.31699648623217,103.897748935672,2A GEYLANG SERAI SRI GEYLANG SERAI SINGAPORE 403002
