_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
80355,2020-10,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,56 years 04 months,220000,2020,4,47,5000.0,2020-10-01,10,12,11.0,314
80356,2020-10,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,59 years 04 months,270000,2020,4,44,3970.5882352941176,2020-10-01,4,6,5.0,331
80357,2020-10,ANG MO KIO,3 ROOM,310C,ANG MO KIO AVE 1,22 TO 24,70.0,Model A,2012,91 years,480000,2020,4,13,6857.142857142857,2020-10-01,22,24,23.0,310
80358,2020-10,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,07 TO 09,82.0,New Generation,1981,59 years 04 months,355000,2020,4,44,4329.268292682927,2020-10-01,7,9,8.0,333
80359,2020-10,ANG MO KIO,3 ROOM,321,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,55 years 07 months,316000,2020,4,48,4328.767123287671,2020-10-01,4,6,5.0,321
80360,2020-10,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,01 TO 03,67.0,New Generation,1977,55 years 09 months,248000,2020,4,48,3701.492537313433,2020-10-01,1,3,2.0,219
80361,2020-10,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,07 TO 09,82.0,New Generation,1981,59 years 03 months,375000,2020,4,44,4573.170731707317,2020-10-01,7,9,8.0,330
80362,2020-10,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,01 TO 03,68.0,New Generation,1981,59 years 03 months,302000,2020,4,44,4441.176470588235,2020-10-01,1,3,2.0,331
80363,2020-10,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1979,57 years 10 months,278000,2020,4,46,3390.243902439024,2020-10-01,4,6,5.0,476
80364,2020-10,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,57 years 10 months,280000,2020,4,46,4179.104477611941,2020-10-01,4,6,5.0,476
80365,2020-10,ANG MO KIO,3 ROOM,403,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,57 years 08 months,273000,2020,4,46,4074.626865671642,2020-10-01,10,12,11.0,403
80366,2020-10,ANG MO KIO,3 ROOM,456,ANG MO KIO AVE 10,10 TO 12,74.0,New Generation,1980,58 years 04 months,289000,2020,4,45,3905.4054054054054,2020-10-01,10,12,11.0,456
80367,2020-10,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,01 TO 03,82.0,New Generation,1980,58 years 04 months,300000,2020,4,45,3658.5365853658536,2020-10-01,1,3,2.0,557
80368,2020-10,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,59 years 04 months,245000,2020,4,44,3602.9411764705883,2020-10-01,1,3,2.0,541
80369,2020-10,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,10 TO 12,89.0,New Generation,1979,57 years 11 months,332000,2020,4,46,3730.3370786516853,2020-10-01,10,12,11.0,417
80370,2020-10,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,58 years 05 months,268000,2020,4,45,3941.176470588235,2020-10-01,4,6,5.0,462
80371,2020-10,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,13 TO 15,67.0,New Generation,1979,57 years 10 months,275000,2020,4,46,4104.477611940299,2020-10-01,13,15,14.0,475
